aspect,label
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,positive
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,negative
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
Education,neutral
