Index,Title,DatePublished,negative,neutral,positive,compound,sentiment,fpositive,fnegative,fneutral,score,label
0,"SNV, BASF partner to boost small holder farmers in Tigray, Amhara",07-03-2023,0.061,0.764,0.175,0.9876,positive,0.753152072429657,0.0087716430425643,0.2380761951208114,0.753152072429657,positive
1,NMC Real Estate hits the ground running,06-26-2023,0.013,0.889,0.098,0.9274,positive,0.0766387730836868,0.0301611181348562,0.893200159072876,0.893200159072876,neutral
2,Wild Coffee Ethiopia widens horizon to Kenya,06-26-2023,0.0,0.759,0.241,0.9977,positive,0.6036601662635803,0.0095620034262537,0.38677778840065,0.6036601662635803,positive
3,IATA calls on Gov’t to clear blocked airline funds,06-26-2023,0.059,0.729,0.212,0.9973,positive,0.656810462474823,0.2377615869045257,0.1054278686642646,0.656810462474823,positive
4,Promoting equipment maintenance at the DMP,06-26-2023,0.0,0.784,0.216,0.9963,positive,0.8876937031745911,0.0079523148015141,0.1043540388345718,0.8876937031745911,positive
5,CBE anchors Islamic finance through new savings account,06-26-2023,0.0,0.744,0.256,0.9866,positive,0.2827150523662567,0.0086295139044523,0.7086554169654846,0.7086554169654846,neutral
6,Zamzam bank gets the go to erect HQ at financial district,06-26-2023,0.0,0.873,0.127,0.9427,positive,0.8146911263465881,0.0082824537530541,0.1770263910293579,0.8146911263465881,positive
7,Tigray aid embezzlement: authorities identify 186 suspects,06-19-2023,0.178,0.767,0.055,-0.9897,negative,0.0182515047490596,0.8522499799728394,0.1294984668493271,0.8522499799728394,negative
8,Addis hosts summit to pave way for “Digital Africa”,06-19-2023,0.01,0.849,0.141,0.9881,positive,0.7778932452201843,0.0092623746022582,0.2128444015979766,0.7778932452201843,positive
9,Marriott International continues expansion of Protea hotels by Marriott,06-19-2023,0.012,0.882,0.105,0.9661,positive,0.6991031765937805,0.0088031264021992,0.2920936644077301,0.6991031765937805,positive
10,Ethiopia showcased to complement Uganda,06-19-2023,0.007,0.78,0.213,0.998,positive,0.2136981189250946,0.0175765249878168,0.7687253952026367,0.7687253952026367,neutral
11,A new dawn for data: Wingu launches a 50 million dollar...,06-19-2023,0.0,0.864,0.136,0.9869,positive,0.8277603387832642,0.0069619100540876,0.1652776896953582,0.8277603387832642,positive
12,Finance Ministry locks in a lean budget with self reliance at...,06-19-2023,0.068,0.775,0.157,0.994,positive,0.0736230984330177,0.7450316548347473,0.1813451945781707,0.7450316548347473,negative
13,Waves are being made to inculcate media in transitional justice,06-19-2023,0.058,0.78,0.162,0.93,positive,0.1312622874975204,0.0212765038013458,0.8474612832069397,0.8474612832069397,neutral
14,Huawei stresses its commitment to inclusive and sustainable digital transformation at...,06-13-2023,0.009,0.809,0.182,0.9965,positive,0.4639606773853302,0.010391685180366,0.5256475806236267,0.5256475806236267,neutral
15,Cyber attacks bombard Ethiopia,06-12-2023,0.239,0.696,0.064,-0.9938,negative,0.0308888610452413,0.6168975234031677,0.3522136807441711,0.6168975234031677,negative
16,Djibouti’s new port scheme excludes Ethiopia from the mix,06-12-2023,0.009,0.911,0.079,0.9719,positive,0.038967665284872,0.0999252721667289,0.8611070513725281,0.8611070513725281,neutral
17,"All eyes on finance, as the Capital hosts anticipated summit",06-12-2023,0.0,0.799,0.201,0.9932,positive,0.3706994354724884,0.008955099619925,0.6203454732894897,0.6203454732894897,neutral
18,"Tele, City Admin solidify agreement to harbor digital Ethiopia",06-12-2023,0.0,0.862,0.138,0.9413,positive,0.8407865166664124,0.0068073249422013,0.1524061858654022,0.8407865166664124,positive
19,SAF production set for continued growth but needs policy support to...,06-12-2023,0.031,0.767,0.202,0.9952,positive,0.5328470468521118,0.0106191243976354,0.4565337896347046,0.5328470468521118,positive
20,Awash Bank’s ‘Tatariwochu’ winners scoop rewards,06-12-2023,0.0,0.652,0.348,0.9972,positive,0.3351603150367737,0.0102414404973387,0.6545982360839844,0.6545982360839844,neutral
21,Logistics elite receive FIATA Diploma,06-12-2023,0.009,0.833,0.159,0.9866,positive,0.643912672996521,0.010006783530116,0.3460805118083954,0.643912672996521,positive
22,Finance Ministry locks in a lean budget with self reliance at...,06-11-2023,0.064,0.786,0.151,0.9935,positive,0.0736230984330177,0.7450316548347473,0.1813451945781707,0.7450316548347473,negative
23,Gov’t postures post war strategic bounce back,06-10-2023,0.109,0.722,0.169,0.9601,positive,0.5842410326004028,0.1928359568119049,0.2229230105876922,0.5842410326004028,positive
24,Global experience set to shape Ethiopia’s water action agenda,06-05-2023,0.017,0.79,0.192,0.9951,positive,0.3113861680030823,0.0178854335099458,0.6707284450531006,0.6707284450531006,neutral
25,Unlocking digital Ethiopia: Experts converge on consumer protection views,06-05-2023,0.091,0.744,0.165,0.9806,positive,0.0282349195331335,0.4557023048400879,0.5160627961158752,0.5160627961158752,neutral
26,TECNO unfolds its flagship foldable phone in Ethiopia,06-05-2023,0.0,0.771,0.229,0.9935,positive,0.7134669423103333,0.0098472461104393,0.276685893535614,0.7134669423103333,positive
27,UN Special Envoy visit Ethiopia to promote road safety,06-05-2023,0.119,0.666,0.214,0.9764,positive,0.0734780877828598,0.2583554089069366,0.6681665778160095,0.6681665778160095,neutral
28,Africa is embracing the AI innovation wave but further investment will...,06-05-2023,0.039,0.798,0.163,0.9964,positive,0.499033659696579,0.0127921812236309,0.4881742000579834,0.499033659696579,positive
29,"Afar, SNNP Regions to receive health boost courtesy of UNOPS, Italy...",06-05-2023,0.092,0.728,0.18,0.9686,positive,0.8335056900978088,0.0130465794354677,0.1534477025270462,0.8335056900978088,positive
30,Ethio Telecom plants a smart learning seed in Addis Ababa University,06-05-2023,0.0,0.857,0.143,0.9661,positive,0.301911324262619,0.0086674205958843,0.6894212365150452,0.6894212365150452,neutral
31,Zemen Bank’s HQ inaugurated,06-02-2023,0.0,0.962,0.038,0.4404,positive,0.1348557025194168,0.0104413134977221,0.8547029495239258,0.8547029495239258,neutral
32,"Brace for dry spell, depressed rainfall experts alarm",05-29-2023,0.092,0.811,0.097,-0.1885,negative,0.1118852570652961,0.7547255158424377,0.1333892196416854,0.7547255158424377,negative
33,Trade ministry goes at all lengths to align a proclamation,05-29-2023,0.022,0.856,0.122,0.9758,positive,0.0449494458734989,0.0988005772233009,0.8562499284744263,0.8562499284744263,neutral
34,ATI hosts forum to leverage scientific research for agri-food resilience,05-29-2023,0.032,0.769,0.2,0.9971,positive,0.3737120628356933,0.0095765255391597,0.6167113780975342,0.6167113780975342,neutral
35,African Ministers call for reforms of the IMF’s Special Drawing Rights...,05-29-2023,0.02,0.89,0.089,0.9538,positive,0.0975292846560478,0.0197984855622053,0.8826722502708435,0.8826722502708435,neutral
36,Agrofood & plastprintpack Ethiopia 2023,05-29-2023,0.0,0.945,0.055,0.4939,positive,0.1240867748856544,0.009356390684843,0.8665568232536316,0.8665568232536316,neutral
37,Global tech community’s commitment to advancing African digital economy,05-29-2023,0.004,0.768,0.228,0.9995,positive,0.1467399895191192,0.0127056641504168,0.8405543565750122,0.8405543565750122,neutral
38,"LAPSSET Ministerial Council adopts “Juba Commitments” to Fast-Track Infrastructure, Trade and...",05-29-2023,0.0,0.827,0.173,0.9901,positive,0.3249632716178894,0.0134806530550122,0.66155606508255,0.66155606508255,neutral
39,"Grant Thornton, CFI ink momentous deal",05-23-2023,0.011,0.849,0.14,0.9744,positive,0.6210954189300537,0.0101284300908446,0.3687761127948761,0.6210954189300537,positive
