,Index,Title,Link,DatePublished,negative,neutral,positive,compound,sentiment
0,0,"SNV, BASF partner to boost small holder farmers in Tigray, Amhara",https://www.capitalethiopia.com/2023/07/03/snv-basf-partner-to-boost-small-holder-farmers-in-tigray-amhara/,07-03-2023,0.061,0.764,0.175,0.9876,positive
1,1,NMC Real Estate hits the ground running,https://www.capitalethiopia.com/2023/06/26/nmc-real-estate-hits-the-ground-running/,06-26-2023,0.013,0.889,0.098,0.9274,positive
2,2,Wild Coffee Ethiopia widens horizon to Kenya,https://www.capitalethiopia.com/2023/06/26/wild-coffee-ethiopia-widens-horizon-to-kenya/,06-26-2023,0.0,0.759,0.241,0.9977,positive
3,3,IATA calls on Gov’t to clear blocked airline funds,https://www.capitalethiopia.com/2023/06/26/iata-calls-on-govt-to-clear-blocked-airline-funds/,06-26-2023,0.059,0.729,0.212,0.9973,positive
4,4,Promoting equipment maintenance at the DMP,https://www.capitalethiopia.com/2023/06/26/promoting-equipment-maintenance-at-the-dmp/,06-26-2023,0.0,0.784,0.216,0.9963,positive
5,5,CBE anchors Islamic finance through new savings account,https://www.capitalethiopia.com/2023/06/26/cbe-anchors-islamic-finance-through-new-savings-account/,06-26-2023,0.0,0.744,0.256,0.9866,positive
6,6,Zamzam bank gets the go to erect HQ at financial district,https://www.capitalethiopia.com/2023/06/26/zamzam-bank-gets-the-go-to-erect-hq-at-financial-district/,06-26-2023,0.0,0.873,0.127,0.9427,positive
7,7,Tigray aid embezzlement: authorities identify 186 suspects,https://www.capitalethiopia.com/2023/06/19/tigray-aid-embezzlement-authorities-identify-186-suspects/,06-19-2023,0.178,0.767,0.055,-0.9897,negative
8,8,Addis hosts summit to pave way for “Digital Africa”,https://www.capitalethiopia.com/2023/06/19/addis-hosts-summit-to-pave-way-for-digital-africa/,06-19-2023,0.01,0.849,0.141,0.9881,positive
9,9,Marriott International continues expansion of Protea hotels by Marriott,https://www.capitalethiopia.com/2023/06/19/marriott-international-continues-expansion-of-protea-hotels-by-marriott/,06-19-2023,0.012,0.882,0.105,0.9661,positive
10,10,Ethiopia showcased to complement Uganda,https://www.capitalethiopia.com/2023/06/19/ethiopia-showcased-to-complement-uganda/,06-19-2023,0.007,0.78,0.213,0.998,positive
11,11,A new dawn for data: Wingu launches a 50 million dollar...,https://www.capitalethiopia.com/2023/06/19/a-new-dawn-for-data-wingu-launches-a-50-million-dollar-center/,06-19-2023,0.0,0.864,0.136,0.9869,positive
12,12,Finance Ministry locks in a lean budget with self reliance at...,https://www.capitalethiopia.com/2023/06/19/finance-ministry-locks-in-a-lean-budget-with-self-reliance-at-heart-2/,06-19-2023,0.068,0.775,0.157,0.994,positive
13,13,Waves are being made to inculcate media in transitional justice,https://www.capitalethiopia.com/2023/06/19/waves-are-being-made-to-inculcate-media-in-transitional-justice/,06-19-2023,0.058,0.78,0.162,0.93,positive
14,14,Huawei stresses its commitment to inclusive and sustainable digital transformation at...,https://www.capitalethiopia.com/2023/06/13/huawei-stresses-its-commitment-to-inclusive-and-sustainable-digital-transformation-at-the-africa-ceo-forum-2023/,06-13-2023,0.009,0.809,0.182,0.9965,positive
15,15,Cyber attacks bombard Ethiopia,https://www.capitalethiopia.com/2023/06/12/cyber-attacks-bombard-ethiopia/,06-12-2023,0.239,0.696,0.064,-0.9938,negative
